Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/a31a7682-c2c5-4499-bb84-d06af343a253/lock
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:06,409 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Adding features: shell/[4.2.2,4.2.2],bundle/[4.2.2,4.2.2],exam/[4.13.1,4.13.1],feature/[4.2.2,4.2.2],framework/[4.2.2,4.2.2],jaas/[4.2.2,4.2.2],ssh/[4.2.2,4.2.2],test-dependencies/[0,0.0.0],log/[4.2.2,4.2.2],config/[4.2.2,4.2.2]
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.sshd/sshd-core/1.7.0
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-builtins/3.9.0
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-reader/3.9.0
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-terminal/3.9.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-terminal-jansi/3.9.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-io/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-lang/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-monitors/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-net/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-spi/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-store/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.base/ops4j-base-util-property/1.5.0
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam/4.13.1
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-extender-service/4.13.1
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-inject/4.13.1
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-invoker-junit/4.13.1
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.exam/pax-exam-container-rbc/4.13.1
2019-12-31T14:10:06,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-core/1.8.2
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-extender/1.8.2
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-framework/1.8.2
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-lifecycle/1.8.2
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.swissbox/pax-swissbox-tracker/1.8.2
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.hamcrest.core/1.3.0.1
2019-12-31T14:10:06,742 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.junit/4.12.0.1
2019-12-31T14:10:06,745 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Installing bundles:
2019-12-31T14:10:06,745 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.geronimo.specs/geronimo-atinject_1.0_spec/1.0
2019-12-31T14:10:06,747 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:06,752 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:06,754 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:06,756 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:06,759 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.2
2019-12-31T14:10:06,761 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.2
2019-12-31T14:10:06,766 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:06,776 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:06,784 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.2
2019-12-31T14:10:06,787 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:06,789 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-12-31T14:10:06,800 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.apache.sshd/sshd-core/1.7.0
2019-12-31T14:10:06,807 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.jline/jline-builtins/3.9.0
2019-12-31T14:10:06,813 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.jline/jline-reader/3.9.0
2019-12-31T14:10:06,814 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.jline/jline-terminal/3.9.0
2019-12-31T14:10:06,819 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.jline/jline-terminal-jansi/3.9.0
2019-12-31T14:10:06,820 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-io/1.5.0
2019-12-31T14:10:06,828 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-lang/1.5.0
2019-12-31T14:10:06,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-monitors/1.5.0
2019-12-31T14:10:06,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-net/1.5.0
2019-12-31T14:10:06,841 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-spi/1.5.0
2019-12-31T14:10:06,854 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-store/1.5.0
2019-12-31T14:10:06,857 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.base/ops4j-base-util-property/1.5.0
2019-12-31T14:10:06,859 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.exam/pax-exam/4.13.1
2019-12-31T14:10:06,860 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.exam/pax-exam-extender-service/4.13.1
2019-12-31T14:10:06,862 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.exam/pax-exam-inject/4.13.1
2019-12-31T14:10:06,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.exam/pax-exam-invoker-junit/4.13.1
2019-12-31T14:10:06,866 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.exam/pax-exam-container-rbc/4.13.1
2019-12-31T14:10:06,876 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.swissbox/pax-swissbox-core/1.8.2
2019-12-31T14:10:06,881 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.swissbox/pax-swissbox-extender/1.8.2
2019-12-31T14:10:06,884 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.swissbox/pax-swissbox-framework/1.8.2
2019-12-31T14:10:06,885 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.swissbox/pax-swissbox-lifecycle/1.8.2
2019-12-31T14:10:06,891 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.swissbox/pax-swissbox-tracker/1.8.2
2019-12-31T14:10:06,893 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.hamcrest.core/1.3.0.1
2019-12-31T14:10:06,894 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   mvn:org.ops4j.pax.tipi/org.ops4j.pax.tipi.junit/4.12.0.1
2019-12-31T14:10:07,114 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Starting bundles:
2019-12-31T14:10:07,123 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.jline.terminal/3.9.0
2019-12-31T14:10:07,125 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.jline.reader/3.9.0
2019-12-31T14:10:07,127 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.jline.builtins/3.9.0
2019-12-31T14:10:07,129 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.shell.core/4.2.2
2019-12-31T14:10:07,220 | WARN  | features-3-thread-1 | jline                            | 26 - org.jline.terminal - 3.9.0 | Unable to create a system terminal, creating a dumb terminal (enable debug logging for more information)
2019-12-31T14:10:07,446 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:07,536 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:07,539 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:07,587 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:07,588 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.config/4.2.2
2019-12-31T14:10:07,599 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.modules/4.2.2
2019-12-31T14:10:07,617 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2019-12-31T14:10:07,618 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:07,648 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Command registration delayed for bundle org.apache.karaf.log.core/4.2.2. Missing dependencies: [org.apache.karaf.log.core.LogService]
2019-12-31T14:10:07,648 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.sshd.core/1.7.0
2019-12-31T14:10:07,649 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:07,657 | INFO  | activator-1-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:07,685 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:07,698 | WARN  | features-3-thread-1 | MetaCompleter                    | 13 - org.apache.karaf.config.core - 4.2.2 | config:meta disabled because the org.osgi.service.metatype package is not wired (enable debug logging for full stack trace).
2019-12-31T14:10:07,708 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:07,730 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.2
2019-12-31T14:10:07,736 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:07,817 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.2. Missing dependencies: [org.apache.sshd.server.SshServer]
2019-12-31T14:10:07,818 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:07,840 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:07,844 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:07,849 | INFO  | features-3-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:07,854 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.spi/1.5.0
2019-12-31T14:10:07,859 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.tipi.hamcrest.core/1.3.0.1
2019-12-31T14:10:07,866 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.tipi.junit/4.12.0.1
2019-12-31T14:10:07,877 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.lang/1.5.0
2019-12-31T14:10:07,884 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.monitors/1.5.0
2019-12-31T14:10:07,887 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.io/1.5.0
2019-12-31T14:10:07,895 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.store/1.5.0
2019-12-31T14:10:07,911 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.util.property/1.5.0
2019-12-31T14:10:07,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam/4.13.1
2019-12-31T14:10:07,917 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.lifecycle/1.8.2
2019-12-31T14:10:07,948 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.tracker/1.8.2
2019-12-31T14:10:07,949 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.invoker.junit/4.13.1
2019-12-31T14:10:07,951 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.core/1.8.2
2019-12-31T14:10:07,951 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.rbc/4.13.1
2019-12-31T14:10:07,968 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.geronimo.specs.geronimo-atinject_1.0_spec/1.0.0
2019-12-31T14:10:07,969 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.inject/4.13.1
2019-12-31T14:10:07,971 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.extender/1.8.2
2019-12-31T14:10:07,971 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.extender.service/4.13.1
2019-12-31T14:10:07,984 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.net/1.5.0
2019-12-31T14:10:08,006 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.framework/1.8.2
2019-12-31T14:10:08,017 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Done.
2019-12-31T14:10:08,270 | INFO  | activator-1-thread-1 | CommandExtension                 | 20 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:08,447 | INFO  | RMI TCP Connection(1)-127.0.0.1 | ContainerTestRunner              | 38 - org.ops4j.pax.exam.invoker.junit - 4.13.1 | running testKubernetesClientFeature in reactor
2019-12-31T14:10:08,461 | INFO  | RMI TCP Connection(1)-127.0.0.1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Adding features: kubernetes-client/[4.1.2,4.1.2]
2019-12-31T14:10:08,655 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Changes to perform:
2019-12-31T14:10:08,655 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   Region: root
